Year,Country / territory of asylum/residence,Origin,Refugees (incl. refugee-like situations),Returned refugees,Total Population
1951,Australia,Various/Unknown,180000,0,180000
1951,Austria,Various/Unknown,282000,0,282000
1951,Belgium,Various/Unknown,55000,0,55000
1951,Canada,Various/Unknown,168511,0,168511
1951,Switzerland,Various/Unknown,10000,0,10000
1951,Germany,Various/Unknown,265000,0,265000
1951,Denmark,Various/Unknown,2000,0,2000
1951,Spain,Various/Unknown,2000,0,2000
1951,France,Various/Unknown,290000,0,290000
1951,United Kingdom,Various/Unknown,208000,0,208000
1951,Greece,Various/Unknown,18000,0,18000
1951,"China, Hong Kong SAR",Various/Unknown,30000,0,30000
1951,Italy,Various/Unknown,26500,0,26500
1951,Luxembourg,Various/Unknown,1800,0,1800
1951,Morocco,Various/Unknown,3000,0,3000
1951,Netherlands,Various/Unknown,14200,0,14200
1951,Norway,Various/Unknown,2500,0,2500
1951,Sweden,Various/Unknown,44000,0,44000
1951,Tunisia,Various/Unknown,2000,0,2000
1951,Turkey,Various/Unknown,2700,0,2700
1951,United States of America,Various/Unknown,350000,0,350000
1952,Austria,Various/Unknown,238200,0,238200
1952,Belgium,Various/Unknown,53500,0,53500
1952,Canada,Various/Unknown,154828,0,154828
1952,Switzerland,Various/Unknown,9800,0,9800
1952,Germany,Various/Unknown,240000,0,240000
1952,Denmark,Various/Unknown,1800,0,1800
1952,France,Various/Unknown,280000,0,280000
1952,United Kingdom,Various/Unknown,200000,0,200000
1952,Greece,Various/Unknown,19000,0,19000
1952,Italy,Various/Unknown,25500,0,25500
1952,Luxembourg,Various/Unknown,1800,0,1800
1952,Morocco,Various/Unknown,2900,0,2900
1952,Netherlands,Various/Unknown,14100,0,14100
1952,Norway,Various/Unknown,2500,0,2500
1952,Sweden,Various/Unknown,42000,0,42000
1952,Turkey,Various/Unknown,2000,0,2000
1952,United States of America,Various/Unknown,500000,0,500000
1953,Austria,Various/Unknown,215200,0,215200
1953,Belgium,Various/Unknown,53000,0,53000
1953,Canada,Various/Unknown,107004,0,107004
1953,Switzerland,Various/Unknown,9500,0,9500
1953,Germany,Various/Unknown,228000,0,228000
1953,Denmark,Various/Unknown,1600,0,1600
1953,France,Various/Unknown,270000,0,270000
1953,United Kingdom,Various/Unknown,192000,0,192000
1953,Greece,Various/Unknown,18500,0,18500
1953,Italy,Various/Unknown,24500,0,24500
1953,Luxembourg,Various/Unknown,1800,0,1800
1953,Morocco,Various/Unknown,2800,0,2800
1953,Netherlands,Various/Unknown,13900,0,13900
1953,Norway,Various/Unknown,2500,0,2500
1953,Sweden,Various/Unknown,37000,0,37000
1953,Turkey,Various/Unknown,2000,0,2000
1953,United States of America,Various/Unknown,500000,0,500000
1954,Austria,Various/Unknown,150000,0,150000
1954,Belgium,Various/Unknown,53000,0,53000
1954,Canada,Various/Unknown,75828,0,75828
1954,Switzerland,Various/Unknown,9400,0,9400
1954,Germany,Various/Unknown,225000,0,225000
1954,Denmark,Various/Unknown,1400,0,1400
1954,Spain,Various/Unknown,2000,0,2000
1954,France,Various/Unknown,263000,0,263000
1954,United Kingdom,Various/Unknown,182000,0,182000
1954,Greece,Various/Unknown,19000,0,19000
1954,"China, Hong Kong SAR",Various/Unknown,22000,0,22000
